instance_id,mechanism_label,supporting_conditions,contrasting_conditions,confidence,rationale,supporting_artifact_paths,capped_excerpts
django__django-1891,patch_shape_transfer,raw,adp;memory;no_memory,medium,Consistent with prior-context patch-shape hints aligning with the successful patch location.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo..."
django__django-1891,procedural_order_transfer,raw,adp;memory;no_memory,low,"Consistent with a prior search/read/edit procedure, but not enough to claim causality.",/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo..."
django__django-1891,raw_redundancy_helped,raw,adp;memory,low,Consistent with raw transcript redundancy preserving useful evidence for the only successful prior representation.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-1891/memory,"prior_files_inspected: tests/admin_widgets/tests.py|tests/admin_widgets/models.py|tests/admin_views/tests.py|tests/admin_views/models.py|docs/topics/migrations.txt|docs/releases/2.0.txt|django/contrib/admin/filters.py|docs/releases/1.11.3.txt|django/forms/models.py|tests/model_forms/tests.py|tests/model_forms/models.py|django/db/models/query.py|opt/anaconda3/lib/python3.8/site-packages/tests/__init__.py|tests/runtests.py|tests/test_sqlite.py|tests/urls.py || prior_files_edited: django/forms/models.py|tests/model_forms/models.py|tests/model_forms/tests.py || prior_test_commands: 4→from unittest import mock, skipUnless|cd testbed && python3 tests/runtests.py model_forms.tests.LimitChoicesTo..."
django__django-20098,same_file_transfer,raw,adp;no_memory,high,Consistent with prior context exposing the target gold file and the successful run modifying that file.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw,prior_files_inspected: django/core/checks/model_checks.py|django/contrib/admin/checks.py|tests/check_framework/test_model_checks.py|tests/runtests.py|django/db/models/base.py|django/db/models/fields/__init__.py|django/utils/module_loading.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|python3 simple_test.py || error_failure_assertion_lines: SyntaxError: invalid syntax|Traceback (most recent call last):|AttributeError: 'NoneType' object has no attribute 'loader' || grep_search_anchors: E028 || patch_s...
django__django-20098,localization_hint,raw,adp;no_memory,medium,Consistent with prior-context localization: the winning run reached a target gold file or directory.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw,prior_files_inspected: django/core/checks/model_checks.py|django/contrib/admin/checks.py|tests/check_framework/test_model_checks.py|tests/runtests.py|django/db/models/base.py|django/db/models/fields/__init__.py|django/utils/module_loading.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|python3 simple_test.py || error_failure_assertion_lines: SyntaxError: invalid syntax|Traceback (most recent call last):|AttributeError: 'NoneType' object has no attribute 'loader' || grep_search_anchors: E028 || patch_s... || first_gold_file_read_step=2
django__django-20098,test_command_transfer,raw,adp;no_memory,high,Consistent with reuse of a prior-context test or reproduction command.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw,prior_files_inspected: django/core/checks/model_checks.py|django/contrib/admin/checks.py|tests/check_framework/test_model_checks.py|tests/runtests.py|django/db/models/base.py|django/db/models/fields/__init__.py|django/utils/module_loading.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|python3 simple_test.py || error_failure_assertion_lines: SyntaxError: invalid syntax|Traceback (most recent call last):|AttributeError: 'NoneType' object has no attribute 'loader' || grep_search_anchors: E028 || patch_s... || run_tests=cd /testbed && python3 tests/runtests.py test_db_table_collision -v 2 2>&1|cd /testbed && python3 tests/runtests.py check_framework.test_db_table_collision -v 2 2>&1|cd /testbed && py...
django__django-20098,failure_signature_transfer,raw,adp;no_memory,medium,Consistent with the run observing a failure signature that overlaps prior or target issue evidence.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw,"prior_files_inspected: django/core/checks/model_checks.py|django/contrib/admin/checks.py|tests/check_framework/test_model_checks.py|tests/runtests.py|django/db/models/base.py|django/db/models/fields/__init__.py|django/utils/module_loading.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|python3 simple_test.py || error_failure_assertion_lines: SyntaxError: invalid syntax|Traceback (most recent call last):|AttributeError: 'NoneType' object has no attribute 'loader' || grep_search_anchors: E028 || patch_s... || run_failures=tests/middleware_exceptions/ | /testbed/tests/test_exceptions/|77 except LookupError: | 149 )), key=lambda error: error.msg)|1260 except ValueError:|except LookupError: | )), key=l..."
django__django-20098,patch_shape_transfer,raw,adp;no_memory,medium,Consistent with prior-context patch-shape hints aligning with the successful patch location.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw,prior_files_inspected: django/core/checks/model_checks.py|django/contrib/admin/checks.py|tests/check_framework/test_model_checks.py|tests/runtests.py|django/db/models/base.py|django/db/models/fields/__init__.py|django/utils/module_loading.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|python3 simple_test.py || error_failure_assertion_lines: SyntaxError: invalid syntax|Traceback (most recent call last):|AttributeError: 'NoneType' object has no attribute 'loader' || grep_search_anchors: E028 || patch_s...
django__django-20098,procedural_order_transfer,raw,adp;no_memory,low,"Consistent with a prior search/read/edit procedure, but not enough to claim causality.",/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/raw,prior_files_inspected: django/core/checks/model_checks.py|django/contrib/admin/checks.py|tests/check_framework/test_model_checks.py|tests/runtests.py|django/db/models/base.py|django/db/models/fields/__init__.py|django/utils/module_loading.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|python3 simple_test.py || error_failure_assertion_lines: SyntaxError: invalid syntax|Traceback (most recent call last):|AttributeError: 'NoneType' object has no attribute 'loader' || grep_search_anchors: E028 || patch_s...
django__django-20098,same_file_transfer,memory,adp;no_memory,high,Consistent with prior context exposing the target gold file and the successful run modifying that file.,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/django__django-20098/memory,prior_files_inspected: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py|../test_db_table_collision.py|tests/runtests.py|tests/modeladmin/test_checks.py|django/contrib/admin/checks.py|django/db/models/base.py|django/db/models/fields/__init__.py || prior_files_edited: django/core/checks/model_checks.py|tests/check_framework/test_model_checks.py || prior_test_commands: - [test] python3 ./swebench_9_15/testbed/tests/runtests.py check_framework.test_model_checks.DuplicateDBTableTests -v 2|- [test] python3 simple_test.py || error_failure_assertion_lines: - Traceback (most recent call last):|- RuntimeError: Settings already configured.|SyntaxError: invalid syntax|Tra...
