instance_id,case_types,condition_outcomes,winning_conditions,losing_conditions,evidence_present_in_winner_missing_from_loser,winner_opened_gold_file_earlier,winner_first_gold_file_read_step,loser_first_gold_file_read_step,winner_edited_gold_file_and_loser_did_not,winner_reused_prior_test_command,winner_reused_prior_failure_signature,loser_followed_irrelevant_file_path,loser_produced_empty_patch,loser_failed_tests_or_patch_failed,winner_patch_files,loser_patch_files,supporting_artifact_paths
matplotlib__matplotlib-22482,no_memory_solved_all_prior_failed,"no_memory:1,raw:0,adp:0,memory:0",no_memory,raw;adp;memory,,0,13,2,0,0,0,0,0,1,lib/matplotlib/widgets.py,lib/matplotlib/tests/test_pickle.py|lib/matplotlib/widgets.py|subprojects/.wraplock|test_issue_exact.py|test_widget_pickle.py|test_widget_pickle_comprehensive.py|lib/matplotlib/widgets.py|subprojects/.wraplock|test_no_slider.pkl|test_slider_pickle.py|test_slider_pickle_qt.py|test_widget_pickle.py|test_with_slider.pkl|lib/matplotlib/widgets.py|subprojects/.wraplock,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-22482/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-22482/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-22482/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-22482/memory
matplotlib__matplotlib-25352,raw_solved_memory_failed;raw_solved_adp_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:1,adp:0,memory:0",raw,no_memory;adp;memory,,0,3,2,0,0,1,1,1,1,lib/matplotlib/cbook.py,lib/matplotlib/cbook.py|lib/matplotlib/tests/test_cbook.py|test_grouper_pickle.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-25352/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-25352/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-25352/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-25352/memory
matplotlib__matplotlib-26331,raw_solved_memory_failed;raw_solved_adp_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:1,adp:0,memory:0",raw,no_memory;adp;memory,contains_relevant_test_command,0,3,2,1,1,1,1,1,1,lib/mpl_toolkits/axes_grid1/axes_rgb.py|lib/mpl_toolkits/axes_grid1/tests/test_axes_grid1.py,test_rgb_standard_axes.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-26331/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-26331/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-26331/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-26331/memory
matplotlib__matplotlib-27361,memory_solved_raw_failed;adp_solved_raw_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:0,adp:1,memory:1",adp;memory,no_memory;raw,,0,4,2,0,0,1,1,1,1,lib/mpl_toolkits/mplot3d/art3d.py|lib/mpl_toolkits/mplot3d/tests/test_axes3d.py|subprojects/.wraplock|lib/mpl_toolkits/mplot3d/art3d.py|lib/mpl_toolkits/mplot3d/tests/test_axes3d.py|patch_art3d.py|subprojects/.wraplock|test.pdf|test_comprehensive.py|test_issue.py|test_issue2.py,lib/mpl_toolkits/mplot3d/art3d.py|subprojects/.wraplock|test_3d_patch_tight_layout.py|test_bug_repro.py|test_fix_verification.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-27361/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-27361/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-27361/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/matplotlib__matplotlib-27361/memory
mwaskom__seaborn-3091,all_prior_solved_no_memory_failed,"no_memory:0,raw:1,adp:1,memory:1",raw;adp;memory,no_memory,,1,2,5,1,1,1,1,1,0,seaborn/_stats/regression.py|tests/_stats/test_regression.py,,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/mwaskom__seaborn-3091/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/mwaskom__seaborn-3091/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/mwaskom__seaborn-3091/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/mwaskom__seaborn-3091/memory
pylint-dev__pylint-6471,raw_solved_memory_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:1,adp:1,memory:0",raw;adp,no_memory;memory,,0,3,3,0,1,1,1,1,1,pylint/lint/pylinter.py,test_issue/.a/foo.py|test_issue/bar.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/pylint-dev__pylint-6471/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/pylint-dev__pylint-6471/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/pylint-dev__pylint-6471/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/pylint-dev__pylint-6471/memory
scikit-learn__scikit-learn-15093,adp_solved_raw_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:0,adp:1,memory:0",adp,no_memory;raw;memory,,1,8,11,0,0,1,0,0,1,sklearn/utils/validation.py,sklearn/utils/validation.py|sklearn/preprocessing/tests/test_data.py|sklearn/utils/tests/test_validation.py|sklearn/utils/validation.py|test_comprehensive_dtype.py|test_issue_15093.py|test_maxabs_scaler_dtype.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-15093/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-15093/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-15093/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-15093/memory
scikit-learn__scikit-learn-25365,raw_solved_adp_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:1,raw:1,adp:0,memory:1",no_memory;raw;memory,adp,,0,2,2,1,0,1,1,1,0,sklearn/manifold/_t_sne.py|sklearn/manifold/_t_sne.py|sklearn/manifold/tests/test_t_sne.py,,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25365/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25365/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25365/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25365/memory
scikit-learn__scikit-learn-25763,memory_solved_raw_failed;adp_solved_raw_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:0,adp:1,memory:1",adp;memory,no_memory;raw,,0,3,2,1,0,1,1,0,0,sklearn/isotonic.py|sklearn/utils/_set_output.py|sklearn/isotonic.py|sklearn/tests/test_isotonic.py|sklearn/utils/_set_output.py,sklearn/utils/_set_output.py|sklearn/utils/tests/test_set_output.py|sklearn/utils/_set_output.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25763/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25763/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25763/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/scikit-learn__scikit-learn-25763/memory
sympy__sympy-11286,raw_solved_adp_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:0,raw:1,adp:0,memory:1",raw;memory,no_memory;adp,,0,3,3,0,1,1,1,1,1,sympy/printing/octave.py|sympy/printing/tests/test_octave.py,sympy/printing/octave.py|sympy/printing/tests/test_octave.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-11286/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-11286/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-11286/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-11286/memory
sympy__sympy-12426,raw_solved_memory_failed;raw_solved_adp_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:1,adp:0,memory:0",raw,no_memory;adp;memory,,0,3,3,0,1,1,0,0,1,sympy/matrices/expressions/diagonal.py,sympy/matrices/expressions/diagonal.py|sympy/matrices/expressions/tests/test_diagonal.py|sympy/matrices/expressions/diagonal.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-12426/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-12426/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-12426/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-12426/memory
sympy__sympy-16689,raw_solved_adp_failed;at_least_two_prior_representations_solved_but_not_all,"no_memory:1,raw:1,adp:0,memory:1",no_memory;raw;memory,adp,,1,2,3,1,0,1,1,0,0,sympy/utilities/codegen.py|sympy/utilities/tests/test_codegen.py|sympy/utilities/codegen.py,test_issue.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-16689/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-16689/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-16689/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-16689/memory
sympy__sympy-19235,adp_solved_raw_failed;exactly_one_prior_representation_solved,"no_memory:1,raw:0,adp:1,memory:0",no_memory;adp,raw;memory,,0,2,2,0,0,0,0,0,1,sympy/printing/latex.py,sympy/printing/latex.py|sympy/printing/tests/test_latex.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19235/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19235/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19235/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19235/memory
sympy__sympy-19484,adp_solved_raw_failed;exactly_one_prior_representation_solved,"no_memory:0,raw:0,adp:1,memory:0",adp,no_memory;raw;memory,,1,12,20,0,1,1,1,1,1,sympy/core/mul.py|sympy/functions/elementary/tests/test_complexes.py,sympy/functions/elementary/complexes.py|sympy/simplify/radsimp.py|sympy/simplify/radsimp.py|sympy/simplify/tests/test_radsimp.py,/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19484/no_memory|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19484/raw|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19484/adp|/home/shashwatsuthar/research/openhands-adp-memory/analysis/contextbench_posthoc/20260606_220027/remote/execution_full_qwen36_65k_fix1_minimal/sympy__sympy-19484/memory
